village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
143766,Bhawa Khera,822,326.0,26.5738668,81.027157,26.58315,81.0343599,26.5655301,81.0202598
178566,Majhaua Lal Singh,937,114.0,27.059199,82.700989,27.0657,82.7092699,27.05276,82.69477
143751,Shahmohammadpur Apaeya,822,288.0,26.6050475,81.1278814,26.6146199,81.1361899,26.59767,81.11996
143752,Ahmadpur Ajamli,822,107.0,26.5936967,81.1333968,26.59915,81.14457,26.58406,81.11842
178569,Karayan,937,135.0,27.0598985,82.7144811,27.06891,82.71979,27.0512899,82.7077401
143754,Karorwa,822,274.0,26.6366924,81.166481,26.6456201,81.17521,26.62654,81.15839
178571,Bargadwa,937,269.0,26.8041502,83.3482146,26.8147739,83.354865,26.7950589,83.3400779
143756,Aslam Nagar,822,220.0,26.6122714,81.1616571,26.6133027803,81.1642991,26.6106048197,81.1599326
178575,Manikaura,937,100.0,26.9630033,84.0511025,26.97377,84.05875,26.9497,84.03347
178576,Asuraina,937,149.0,27.4351435,83.6002499,27.44184,83.61175,27.42665,83.58878
143761,Kata Karaudi,822,435.0,26.5733908,81.0892627,26.5825599,81.10692,26.56199,81.0793801
143762,Salempur Achaka,822,282.0,26.5799306,81.1002985,26.59188,81.1143599,26.56972,81.0856899
178579,Siswa Bujurg,937,159.0,27.3595203,82.7697705,27.3703899,82.78031,27.35285,82.7610199
143765,Hasan Pur,822,273.0,28.7237807,78.2846303,28.7331947,78.2934665,28.7161089,78.2744122
178582,Bantikra,937,184.0,27.0199004,82.6766965,27.02843,82.68127,27.0114699,82.6739299
143769,Rampur Garhi Jamuni,822,383.0,26.5814557,81.0547656,26.59152,81.06627,26.57412,81.0435701
143768,Bramhedas Pur,822,200.0,26.5891819,81.0382016,26.59639,81.04575,26.5841101,81.02988
178585,Baidaula,937,182.0,27.0175355,82.6874942,27.02551,82.6994099,27.0105,82.6783299
143771,Bairisal Pur,822,378.0,26.5651143,81.0506249,26.5757899,81.0583,26.5566499,81.04243
143772,Nigoha,822,1093.0,26.5623466,81.0299183,26.566823,81.03418,26.5576489,81.0276998
178589,Bhanpur,937,825.0,27.0264423,82.6618468,27.03467,82.67131,27.02217,82.65759
143774,Adhaeya,822,214.0,26.5341336,81.0230149,26.5463799,81.0319101,26.52431,81.00479
178593,Jamohana,937,235.0,27.0416179,82.6442929,27.0486,82.6489,27.03568,82.6378
178595,Jagdeeshpur Urf Naugarh,937,329.0,27.031166,82.6402414,27.03971,82.65166,27.0221099,82.63229
143781,Nadauli,822,307.0,26.4341782,83.8008883,26.4400601,83.80833,26.4302001,83.7935399
143783,Puraheya,822,400.0,26.5245244,81.0561458,26.5315599,81.06997,26.51334,81.0433299
178600,Mohammad Nagar,937,109.0,27.5921406,81.565127,27.6128499,81.5825,27.57634,81.55382
178601,Basdilia,937,159.0,27.0910852,82.667247,27.09904,82.6802399,27.08711,82.66019
143788,Natauli,822,343.0,26.0566515,82.7063862,26.0672299,82.7158301,26.0484599,82.70024
178607,Kutubpur,937,115.0,29.2217257,77.5189458,29.2308801,77.5315,29.21267,77.50767
178609,Asnahara,937,174.0,27.0839045,82.6557709,27.0874499,82.66022,27.08002,82.6512501
178614,Karaili,937,115.0,27.0732523,82.6618468,27.08072,82.6696099,27.0678401,82.65382
178616,Beili,937,172.0,26.2947449,83.5056874,26.2964,83.51023,26.29043,83.4979799
